id,nama,perusahaan,jenis_pestisida,no_registrasi,tgl_terbit,tgl_berakhir
3374,ROZA 550 EC,DANKEN INDONESIA,Insektisida,01010120155347,2021-10-12,2026-10-12
3375,HOKY 30 EC,SARI KRESNA KIMIA,Insektisida,01010120052274,2025-02-17,2030-02-17
3376,NOBAS 400 EC,INTI EVERSPRING INDONESIA,Insektisida,01010120011581,2026-01-20,2031-01-20
3377,NITENPYRAM 95 TC,INTI EVERSPRING INDONESIA,Insektisida,042018568,2023-08-28,2028-08-28
3378,NEO PILARQUAT 137 SL*,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120227335,2022-06-27,2027-06-27
3379,MICROCARE ® CPBZ,TRITUNGGAL ARTHAMAKMUR,Fungisida,0420221034,2022-06-27,2027-06-27
3380,EMARTY 500/50 SC,CATUR AGRODAYA MANDIRI,Herbisida,01030120196236,2024-08-09,2029-08-09
3381,BRODIFACOUM 0.5 TK,MULTI SARANA INDOTANI,Rodentisida,0420221092,2023-02-08,2028-02-08
3382,WELLNOID 60 WP,DA MING INDONESIA,Moluskisida,01050120114030,2026-07-16,2031-07-16
3383,Chlorfenapyr 96 TC,DALZON CHEMICALS INDONESIA,Insektisida,042020811,2025-09-26,2030-09-26
3384,SAGRI-TREAT 300/150 EC,SATYA AGRO INDONESIA,Fungisida,01020120145019,2024-03-05,2029-03-05
3385,VULGAR 865 SL,PT. FORTUNA MULIA SEJATI,Herbisida,01030120134734,2023-02-08,2028-02-08
3386,PROPOXUR 100 EC,INTI EVERSPRING INDONESIA,Insektisida,032023540,2023-04-26,2028-04-26
3387,VIGOLD-T 200/280 SC,ARYSTA LIFESCIENCE TIRTA,Fungisida,01020120134838,2024-03-05,2029-03-05
3388,SINOPARAGO 200 SL,AGRO JAYA INDONESIA,Herbisida,01030120258999,2025-09-26,2030-09-26
3389,SULFARON 200/50 EC,EASTCHEM AGROSCIENCE INDONESIA,Insektisida,01010120227362,2022-06-27,2027-06-27
3390,MESOTRION 97 TC,SOLO LOGO INDONESIA,Herbisida,0420211003,2026-04-20,2031-04-20
3391,METSULINDO 20 WG,INTI EVERSPRING INDONESIA,Herbisida,01030120186204,2024-03-04,2029-03-04
3392,SENCOR FORTE 17.5/24 WG,BAYER INDONESIA,Herbisida,01030120248548,2024-11-18,2029-11-18
3393,AGADI 50 SC,ROYAL AGRO INDONESIA,Insektisida,01010120103627,2024-09-19,2029-09-19
3394,IPA GLYPHOSATE 62 TC,DELTA GIRI WACANA,Herbisida,042012289,2021-11-18,2026-11-18
3395,DOST 330 EC,UPL INDONESIA,Herbisida,01030120083036,2023-04-26,2028-04-26
3396,CORIDA 50 SC,ZENITH CROPSCIENCES INDONESIA,Fungisida,01020120113970,2023-04-26,2028-04-26
3397,VIVO 100 EC,AGRO MULIA,Insektisida,01010120175724,2023-02-08,2028-02-08
3398,CHLOROTHALONIL 96 TC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Fungisida,0420231173,2023-08-28,2028-08-28
3399,CONSTEL 105/420 SC,UPL INDONESIA,Insektisida,01010120248591,2025-02-17,2030-02-17
3400,MAJESTIC 80 WP,GRAHA AGRITECH PRIMA,Fungisida,01020120175794,2022-12-05,2027-12-05
3401,EMAMEKTIN BENZOAT 70 TC,SOLO LOGO INDONESIA,Insektisida,0420241275,2024-08-09,2029-08-09
3402,TOPPER 10 WP,INDOIN BUSINESS GROUP,Herbisida,01030120196580,2024-09-19,2029-09-19
3403,BERNAS 250 EC,MAJU MAKMUR UTOMO,Fungisida,01020120083174,2023-08-28,2028-08-28
3404,EXPANDER 260/55/40 OD,DELTA GIRI WACANA,Herbisida,01030120248611,2025-02-17,2030-02-17
3405,RUDOR 5 WP,DELTAGRO MULIA SEJATI,Insektisida,01010120042002,2023-02-08,2028-02-08
3406,CUROCROP 500 EC,MASCO AGRI GENETICS,Insektisida,01010120093422,2024-08-09,2029-08-09
3407,CHLORPYRIFOS 97 TC,SURYA AGROKEMINDO PERKASA,Insektisida,042018588,2024-03-04,2029-03-04
3408,KEN-PRO 250 EC,KENSO INDONESIA,Fungisida,01020120145008,2024-08-09,2029-08-09
3409,GARLON 333/17 EW,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Herbisida,032007211,2026-04-20,2031-04-20
3410,KENOSIS 60 WP,CULTURE AGRITECH INTERZONA,Fungisida,01020120155306,2026-01-20,2031-01-20
3411,RAINSINATE 60 SL,RAINBOW AGROSCIENCES,Herbisida,01030120248540,2024-11-18,2029-11-18
3412,OBIN 310/115 SL,PETROSIDA GRESIK,Herbisida,01030120072680,2022-06-27,2027-06-27
3413,GLYPHOSATE 95 TC,AGX ASIA INDONESIA,Herbisida,0420211001,2022-01-14,2027-01-14
3414,CHLORPOWER 200 SC,ARTHA MAKMUR ABADI,Insektisida,01010120269538,2026-07-16,2031-07-16
3415,PLENNO 50 WG,YANNO AGRO SCIENCE INDONESIA,Insektisida,01010120248314,2024-08-09,2029-08-09
3416,FLUROXYPYR MEPTYL HEPTYL ESTER 97 TC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,042018531,2024-03-05,2029-03-05
3417,MAGTOXIN 60 TB,INDO GLOBAL TRADE,Fumigan,0510011988846,2025-11-13,2030-11-13
3418,COWIN 550 EC,RAINBOW AGROSCIENCES,Insektisida,01010120186175,2023-04-26,2028-04-26
3419,PREVENTOL BM 5,INDO ASIA TIRTA MANUNGGAL,Bakterisida,0420241348,2024-11-18,2029-11-18
3420,PenTop 138 SL*,SANJAYA SEJAHTERA LESTARI,Herbisida,01030120259262,2026-01-20,2031-01-20
3421,DY-NO-MITE 100 EC,INTER ANEKA LESTARI KIMIA,Bahan pengawet kayu,04110120217039,2026-07-16,2031-07-16
3422,VAPE LIQUID e45 LV,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,032009219,2024-03-04,2029-03-04
3423,VAPE 0.176 AE,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120155282,2025-02-17,2030-02-17
3424,PRIMAXONE ULTRA 300 SL*,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120124501,2022-06-27,2027-06-27
3425,FARMECTIN 36 EC,FARMCO KIMIA,Insektisida,01010120185950,2023-04-26,2028-04-26
3426,RAMPECIS 300 EC,TIGA MUARA EMAS MAKMUR,Insektisida,01010120155258,2025-02-17,2030-02-17
3427,GERHANA 865 SL,TANI MUJUR,Herbisida,01030120021689,2023-02-08,2028-02-08
3428,CENTAMINE 870 SL,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120113952,2025-07-11,2030-07-11
3429,SANTAQUAT 276 SL*,SANTANI AGRO PERKASA,Herbisida,01030120072978,2022-06-27,2027-06-27
3430,INNOMAN ® CLA,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420231160,2023-04-26,2028-04-26
3431,HEXACAR 50/50 EC,SINAR GENERAL INDUSTRIES,Fungisida,01020120144988,2024-10-19,2029-10-19
3432,ZeaClean 240/10 OD,WINHONOR CONSULTING INDONESIA,Herbisida,01030120259324,2026-01-20,2031-01-20
3433,DIMEZONE 865 SL,AGRO TERRUM INDONESIA,Herbisida,01030120248599,2025-02-17,2030-02-17
3434,SAPULAT 40 SP,YANNO AGRO SCIENCE INDONESIA,Insektisida,032024547,2024-08-09,2029-08-09
3435,HIT 1.7 MV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120227312,2022-06-27,2027-06-27
3436,APPLAUD 10 WP,PETROKIMIA KAYAKU,Insektisida,0101011984688,2026-04-20,2031-04-20
3437,MEPHOS 56P (Powder),MULTIGUNA GEMILANG,Fumigan,05100120134870,2024-03-04,2029-03-04
3438,PASMANTAB 320/125 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120248526,2024-11-18,2029-11-18
3439,GLOWING 250 EC,GRAHA AGRITECH PRIMA,Fungisida,01020120269573,2026-07-16,2031-07-16
3440,BEROSAL 50 WP,SUMANS MANDIRI SEJAHTERA,Fungisida,01020120269529,2026-07-16,2031-07-16
3441,CENTALON 480 EC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120103716,2024-11-18,2029-11-18
3442,Parakuat Diklorida 42 TC,SIFA SAUDARA ABADI,Herbisida,0420251382,2025-07-11,2030-07-11
3443,POUNCE 20 EC,BINA GUNA KIMIA,Insektisida,0101011981493,2024-03-04,2029-03-04
3444,SPINDID 40/160 SC,RAINBOW AGROSCIENCES,Insektisida,01010120237933,2023-08-28,2028-08-28
3445,MEPHOS 56TB,MULTIGUNA GEMILANG,Fumigan,05100120206948,2025-11-13,2030-11-13
3446,EPOKSTAR 80 WG,RAINBOW AGROSCIENCES,Fungisida,01020120175749,2022-10-04,2027-10-04
3447,WALANG 50 EC,SINAR GENERAL INDUSTRIES,Insektisida,01010120113980,2026-07-16,2031-07-16
3448,IMIDASAL 10 WP,ZENITH CROPSCIENCES INDONESIA,Insektisida,01010120041976,2024-03-05,2029-03-05
3449,ROLIZAPYR 75 WG,ROLIMEX KIMIA NUSAMAS,Herbisida,01030120186074,2023-08-28,2028-08-28
3450,TANITERR 3 GR,TANI MAS SUBUR,Insektisida,01010120206695,2025-02-17,2030-02-17
3451,DKTIRAM 70 WG,DANKEN INDONESIA,Fungisida,01020120165502,2022-12-05,2027-12-05
3452,FOLITEC 25 EC,BAYER INDONESIA,Insektisida,032012295,2022-12-05,2027-12-05
3453,Proxel CMC Preservative,ARXADA CHEMICALS INDONESIA,Pestisida lain-lain,042019724,2024-09-19,2029-09-19
3454,SWEEPER 480 SL,POLARCHEM,Herbisida,01030120031934,2022-10-04,2027-10-04
3455,BINAPOSATE 480 SL,BINANGUN AGRO LESTARI,Herbisida,01030120237735,2023-04-26,2028-04-26
3456,OXAMYL 5 SL,INTI EVERSPRING INDONESIA,Insektisida,032020490,2025-07-11,2030-07-11
3457,MERIT 250 CS,RAINBOW AGROSCIENCES,Insektisida,01010120134789,2023-08-28,2028-08-28
3458,AJI-STAR 300 EC,AGRO JAYA INDUSTRI,Herbisida,01030120238091,2024-03-05,2029-03-05
3459,KLORELLE 530/55 EC,INTI EVERSPRING INDONESIA,Insektisida,01010120186201,2024-03-04,2029-03-04
3460,MEGASTAR 75 SP,MASCO AGRI GENETICS,Insektisida,01010120093352,2024-08-09,2029-08-09
3461,TELAVEX 100/30 OD,ROYAL AGRO INDONESIA,Herbisida,01030120258883,2025-07-11,2030-07-11
3462,REXROOT 480 SL,NUSA MANDIRI UTAMA,Herbisida,01030120145074,2025-02-17,2030-02-17
3463,SCALIN 80/220 SC,RAINBOW AGROSCIENCES,Insektisida,01010120237931,2023-08-28,2028-08-28
3464,VAPE 8.0 LV,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120165659,2021-11-18,2026-11-18
3465,COMRADE 100/50 SL,MAKMUR JAYA AGRO,Insektisida,01010120206814,2025-07-11,2030-07-11
3466,STARANE 288 EC,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Herbisida,032018440,2024-03-05,2029-03-05
3467,DEFENDER 10/50 WG,PT. AGRORISEN INDOMAKMUR CEMERLANG,Insektisida,01010120237867,2023-08-28,2028-08-28
3468,PILARCHESS 60 WG,PILARQUIM AGROSCIENCE INDONESIA,Insektisida,01010120227688,2023-02-08,2028-02-08
3469,DN-80 80 WP,PRIMA KARYA BERJAYA,Herbisida,01030120196259,2024-03-05,2029-03-05
3470,VELOX 50 EC,ETONG CHEMICAL INDONESIA,Insektisida,01010120259144,2025-11-13,2030-11-13
3471,PRIMA-GUARD 480 EC,PRIMA KARYA BERJAYA,Herbisida,01030120155320,2025-09-26,2030-09-26
3472,Good Knight 0.566 MV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120248631,2025-02-17,2030-02-17
