id,nama,perusahaan,jenis_pestisida,no_registrasi,tgl_terbit,tgl_berakhir
1354,ASIAPON 10 PA,DA MING INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120124522,2023-04-26,2028-04-26
1355,EMAMECTIN BENZOATE 70 % TC,AGRO JAYA INDUSTRI,Insektisida,0420231179,2023-08-28,2028-08-28
1356,RIDATOP 138 SL*,PT.ASIANA CHEMICALINDO LESTARI,Herbisida,01030120206971,2026-01-20,2031-01-20
1357,SUPERFOS 550 EC,FARMCO KIMIA,Insektisida,01010120165653,2023-04-26,2028-04-26
1358,JITSU 200 SL,GLOBAL AGROTECH,Insektisida,01010120103754,2025-07-11,2030-07-11
1359,BroVaten 200 SL,SENTRAL TANI NUSANTARA,Herbisida,01030120269534,2026-07-16,2031-07-16
1360,INTERBESS 150/250 SC,INTER AGRO INDONESIA,Fungisida,01020120269389,2026-04-20,2031-04-20
1361,FIDARID 200 SL,INDO-SINO AGROCHEMICAL,Insektisida,01010120124460,2023-08-28,2028-08-28
1362,PUANORIS 50 SP,JJM INDONESIA,Fungisida,01020120175920,2023-04-26,2028-04-26
1363,PREVICUR N 722 SL,BAYER INDONESIA,Fungisida,0102011982612,2022-12-05,2027-12-05
1364,ROSCEL 20 EC,INDAH TANI SEJAHTERA,Insektisida,01010120196449,2024-11-18,2029-11-18
1365,MAHAKAM MURAH 145 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120248651,2025-02-17,2030-02-17
1366,AMFAS 150 SL,BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,Herbisida,01030120165479,2026-07-16,2031-07-16
1367,TRICORAZ PLUS 60/240 SC,RAINBOW AGROSCIENCES,Fungisida,01020120248715,2025-02-17,2030-02-17
1368,METINDO 40 SP,INTI EVERSPRING INDONESIA,Insektisida,01010120042103,2024-03-05,2029-03-05
1369,ENKAZEB 80 WP,ROLIMEX KIMIA NUSAMAS,Fungisida,01020120062407,2026-01-20,2031-01-20
1370,ABAMECTIN 95 TC,DELTA GIRI WACANA,Insektisida,042016387,2026-01-20,2031-01-20
1371,WINGLOS 150 SL,DWIAGRI MAKMUR INTERTRADE,Herbisida,01030120165663,2022-01-14,2027-01-14
1372,VAPE 0.78 AE,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,032015374,2026-01-20,2031-01-20
1373,ALFAPON 100 PA,AGROTECH PESTICIDE INDUSTRY,Zat Pengatur Tumbuh Tanaman,01040120072839,2022-10-04,2027-10-04
1374,CARBOSULFAN 90 TC,INTI EVERSPRING INDONESIA,Insektisida,0420251374,2025-07-11,2030-07-11
1375,PILARTEP 115/230 SC,PILARQUIM AGROSCIENCE INDONESIA,Fungisida,01020120217160,2025-11-13,2030-11-13
1376,GENIE 40 SP,PT. AGROW USAHA TANI INDONESIA,Insektisida,01010120227305,2022-06-27,2027-06-27
1377,Neptune 25 WP,MAJU MAKMUR UTOMO,Insektisida,01010120041904,2024-03-04,2029-03-04
1378,TARANTULA 50 WP,ARTHA BUANA MANDIRI,Insektisida,01010120227709,2023-02-08,2028-02-08
1379,VAPE 0.2 MC,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120217101,2026-01-20,2031-01-20
1380,METAMECTIN 50 EC,TIENYEN INTERNATIONAL,Insektisida,01010120248297,2024-08-09,2029-08-09
1381,PENTACOL 280/200 SC*,SOLO LOGO INDONESIA,Herbisida,01030120196374,2024-03-05,2029-03-05
1382,WEIKO 330 EC,Agro Bumi Timur,Herbisida,01030120259320,2026-01-20,2031-01-20
1383,FASTQUAT 276 SL*,BAHTERA BONIAGA LESTARI,Herbisida,01030120134865,2024-03-04,2029-03-04
1384,WERENGIN 20/60 WG,MAKMUR JAYA AGRO,Insektisida,01010120227601,2022-12-05,2027-12-05
1385,Densil 2167,ARXADA CHEMICALS INDONESIA,Pestisida lain-lain,0420251437,2025-11-13,2030-11-13
1386,ManMop 9/60 WP,SOLO LOGO INDONESIA,Fungisida,01020120248296,2024-08-09,2029-08-09
1387,TERMIKON 15 EC,PETROKIMIA KAYAKU,Bahan pengawet kayu,04110119971323,2022-10-04,2027-10-04
1388,HIT 0.195 AE,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120238009,2024-03-04,2029-03-04
1389,IMMUNE START 200 / 80 FS,BAYER INDONESIA,Fungisida,01020120196544,2024-09-19,2029-09-19
1390,CRYOVEX 51 WG,INDONESIA BENXING INDUSTRIAL,Herbisida,01030120269545,2026-07-16,2031-07-16
1391,PRIMA-MAXIN 50 WP,PRIMA KARYA BERJAYA,Herbisida,01030120248681,2025-02-17,2030-02-17
1392,MEPERFLUTHRIN ENDURA 5 TC,MSR HIJAU LESTARI,Insektisida,032019471,2025-02-17,2030-02-17
1393,ALIETTE 80 WP,BAYER INDONESIA,Fungisida,032014344,2024-03-05,2029-03-05
1394,GIGANTIC 40 EC,AGRICULTURE CONSTRUCTION,Zat Pengatur Tumbuh Tanaman,01040120113924,2025-09-26,2030-09-26
1395,SATYAHOT 486 SL,SATYA ALAM SEMESTA,Herbisida,01030120155210,2024-09-19,2029-09-19
1396,VAPE ULTRA 0.015 MC,FUMAKILLA INDONESIA,Insektisida,032016387,2021-10-12,2026-10-12
1397,TURBO 300/200 SC,JIRONA AGRITAMA,Insektisida,01010120186091,2024-03-05,2029-03-05
1398,DICAMBA 98 TC,SOLO LOGO INDONESIA,Herbisida,0420231127,2023-04-26,2028-04-26
1399,SONKEI 230/95/25 EC,INDOIN BUSINESS GROUP,Herbisida,01030120237814,2023-04-26,2028-04-26
1400,KRESNOID 60 WP,SARI KRESNA KIMIA,Moluskisida,01050120145079,2024-08-09,2029-08-09
1401,BERSIH LULANGAN 155 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120269338,2026-04-20,2031-04-20
1402,REATIS 480 FS,BAYER INDONESIA,Insektisida,01010120196569,2024-09-19,2029-09-19
1403,METHOMYL 24 SL,INTI EVERSPRING INDONESIA,Insektisida,03200025,2025-07-11,2030-07-11
1404,BACZIN 384/256 SC,AGRICULTURE CONSTRUCTION,Bakterisida,01060120217024,2025-09-26,2030-09-26
1405,LAVA 276 SL,RAINBOW AGROSCIENCES,Herbisida,01030120134595,2023-02-08,2028-02-08
1406,PadiClear 167/33 ME,WINHONOR CONSULTING INDONESIA,Herbisida,01030120269433,2026-04-20,2031-04-20
1407,TRAMOLIN 480 EC,DALZON CHEMICALS INDONESIA,Herbisida,01030120206697,2025-09-26,2030-09-26
1408,BOSHEP 150/60 SC,DMA,Insektisida,01010120196297,2024-03-05,2029-03-05
1409,JUNO 15/385 SE,DELTAGRO MULIA SEJATI,Herbisida,01030120227426,2022-10-04,2027-10-04
1410,AMETREX 80 WG,ROYAL AGRO INDONESIA,Herbisida,01030120145032,2024-11-18,2029-11-18
1411,OBR 25 WP,INDAGRO,Insektisida,01010120103780,2025-09-26,2030-09-26
1412,STARAS 100/35/20 EC,EASTCHEM AGROSCIENCE INDONESIA,Insektisida,01010120227358,2022-06-27,2027-06-27
1413,Natrium para-nitrofenol 98 TC,HARINA CHEMICALS INDUSTRI,Zat Pengatur Tumbuh Tanaman,0420241319,2024-09-19,2029-09-19
1414,DISTINC 50 EC,ZHENGBANG CROP PROTECTION INDONESIA,Insektisida,01010120238117,2024-03-05,2029-03-05
1415,BASMIN 865 SL,AGRO JAYA INDUSTRI,Herbisida,01030120248456,2024-11-18,2029-11-18
1416,STARLORD 100 CS,INDOIN BUSINESS GROUP,Insektisida,01010120237815,2023-04-26,2028-04-26
1417,EBEN 70 EC,SARI KRESNA KIMIA,Insektisida,01010120269555,2026-07-16,2031-07-16
1418,VIRTAKO 300 SC,SYNGENTA INDONESIA,Insektisida,01010120073006,2022-06-27,2027-06-27
1419,VELICA 20 WP,KUNIMA JAYA SELARAS,Fungisida,01020120124540,2023-04-26,2028-04-26
1420,YUTAXONE 276 SL,NUSANTARA AGRO SUKSES,Herbisida,01030120238083,2024-03-04,2029-03-04
1421,BIMASTAR 240/120 SL,NUFARM INDONESIA,Herbisida,01030119931079,2025-07-11,2030-07-11
1422,TRANSFLUTRIN 94 TC,TRITAMA WIRAKARSA,Insektisida,042015341,2026-07-16,2031-07-16
1423,PILARTA 110/110 SC,INDO-SINO AGROCHEMICAL,Insektisida,01010120227445,2022-10-04,2027-10-04
1424,Proxel GL20 Preservative,ARXADA CHEMICALS INDONESIA,Pestisida lain-lain,042019726,2024-09-19,2029-09-19
1425,PROWL 330 EC,BASF INDONESIA,Herbisida,0103011991990,2022-12-05,2027-12-05
1426,STARMYL 25 WP,MULTI SARANA INDOTANI,Fungisida,01020119991466,2025-09-26,2030-09-26
1427,VIRTAKO 40 WG,SYNGENTA INDONESIA,Insektisida,032009216,2024-03-05,2029-03-05
1428,HORAZ 50 WP,Agro Bumi Timur,Fungisida,01020120237766,2023-04-26,2028-04-26
1429,KINGLON 667 EC,MAXXI AGRI INDONESIA,Herbisida,01030120175906,2023-04-26,2028-04-26
1430,NAKARAZ 490 SL,BAHTERA BONIAGA LESTARI,Herbisida,01030120114153,2022-10-04,2027-10-04
1431,NARKLON 200/125 SC,SAMUDRA UTAMA NARAPATI,Fungisida,01020120238164,2024-03-05,2029-03-05
1432,PROZINON 600 EC,DELTAGRO MULIA SEJATI,Insektisida,01010120186144,2023-02-08,2028-02-08
1433,GLYFOMAX 480 SL,BIMAGRO INDONESIA,Herbisida,01030120259065,2025-11-13,2030-11-13
1434,NARAGENT 50 SC,SAMUDRA UTAMA NARAPATI,Insektisida,01010120134796,2024-03-04,2029-03-04
1435,BILIS 500 SC,BIOTIS AGRINDO,Herbisida,01030120083104,2022-12-05,2027-12-05
1436,BARMONE 100 EC,SARAREA PANEN RAYA,Insektisida,01010120134547,2023-04-26,2028-04-26
1437,ECOVICTORY 600 SL,INDONESIA BENXING INDUSTRIAL,Herbisida,01030120269557,2026-07-16,2031-07-16
1438,GUSANO 300 EC,PRIMA KARYA BERJAYA,Insektisida,01030120227412,2022-10-04,2027-10-04
1439,PROFENOFOS 95 TC,SOLO LOGO INDONESIA,Insektisida,0420241289,2024-08-09,2029-08-09
1440,RELIEFNET 0.18 LLIN,BIOTEK SARANATAMA,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120134801,2024-11-18,2029-11-18
1441,SINARON 80 WP,SINAMYANG INDONESIA,Herbisida,01030120145105,2024-03-05,2029-03-05
1442,FRONTIER 500 SC,PERTIWI INTERTRADE,Fungisida,01010120155229,2025-11-13,2030-11-13
1443,DELTAMETRIN 98 TC,KRISTALINDO KARUNIA INTERNASIONAL,Insektisida,042017488,2023-04-26,2028-04-26
1444,Fenvalerate 93 TC,DALZON CHEMICALS INDONESIA,Insektisida,0420241334,2024-11-18,2029-11-18
1445,MARTAN 360 EC,DALZON CHEMICALS INDONESIA,Herbisida,01030120206943,2026-01-20,2031-01-20
1446,IMPROVA 33/167 ME,DELTAGRO MULIA SEJATI,Herbisida,01030120227539,2022-12-05,2027-12-05
1447,CENTAZEB 81 WP,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Fungisida,01020120227628,2023-02-08,2028-02-08
1448,ANILO 60 WP,DHARMA GUNA WIBAWA,Moluskisida,01050120134644,2023-02-08,2028-02-08
1449,GARANG 135 SL,SANTANI AGRO MANDIRI,Herbisida,01030120196553,2024-09-19,2029-09-19
1450,GOLOK 240 EC,DELTAGRO MULIA SEJATI,Herbisida,01030120031783,2026-01-20,2031-01-20
1451,SOFFELL XL 18 LT,HERLINA INDAH,Repelen,06080120196392,2024-09-19,2029-09-19
1452,KYUUBI 865 SL,FORAGRO MAJU SEJAHTERA,Herbisida,01030120175846,2022-12-05,2027-12-05
1453,STN-Parakuat 276 SL*,SENTRAL TANI NUSANTARA,Herbisida,01030120269668,2026-07-16,2031-07-16
1454,LOCK UP 480 SL,AGRI KIMIA NUSANTARA,Herbisida,01030120134693,2024-03-04,2029-03-04
1455,PRIMAXONE 276 SL*,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120062185,2026-01-20,2031-01-20
1456,KEN-UP 480 SL,KENSO INDONESIA,Herbisida,01030120062435,2025-11-13,2030-11-13
1457,BlightHealer 62.5/625 SC,KHARISMA AGRI WIJAYA,Fungisida,01020120269533,2026-07-16,2031-07-16
1458,PROPINEX 70 WP,MASCO AGRI GENETICS,Fungisida,01020120134609,2023-02-08,2028-02-08
1459,ET-TIO 520 SC,ETONG CHEMICAL INDONESIA,Fungisida,01020120227643,2023-02-08,2028-02-08
1460,FOLTUS PLUS 500 SL,DELTA GIRI WACANA,Insektisida,01010120155242,2025-07-11,2030-07-11
1461,Pro Maize 48/4 WP,MAJU MAKMUR UTOMO,Herbisida,01030120175879,2022-12-05,2027-12-05
1462,PENOKSULAM 98 TC,AGRO JAYA INDONESIA,Herbisida,0420231199,2023-08-28,2028-08-28
1463,DEXTER 80 WG,SARAREA PANEN RAYA,Fungisida,01020120206610,2025-09-26,2030-09-26
1464,VAPE DORA 0.005 RB,FUMAKILLA INDONESIA,Rodentisida,06120120269689,2026-07-16,2031-07-16
1465,K-FASTMIL 40 SP,HANEARL SCIENCE INDONESIA,Insektisida,01010120258807,2025-07-11,2030-07-11
1466,FORMECTIN 55 EC,FORAGRO MITRA SEJATI,Insektisida,01010120248491,2024-11-18,2029-11-18
1467,MOVIDA 40/130 SC,DALZON CHEMICALS INDONESIA,Insektisida,01010120206645,2025-09-26,2030-09-26
1468,DORSA 15/5 WP,AGRO CHEMICA,Insektisida,01010120124293,2022-10-04,2027-10-04
1469,SOCOTRA 18 EC,AGRO BERJAYA CITRA TANI,Insektisida,01010120259130,2025-11-13,2030-11-13
1470,STARANE 290 EC,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Herbisida,0103011988854,2023-08-28,2028-08-28
1471,TIVIANT 7/70 WG,BAYER INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120238204,2024-03-05,2029-03-05
1472,KLORFENAPIR 98 TC,TANAMAN MAKMUR MANDIRI,Insektisida,0420221102,2023-02-08,2028-02-08
1473,ALFONSO 15/55 OD,MITRA INDOTANI ABADI,Herbisida,01030120259158,2026-01-20,2031-01-20
1474,PENOXTAR 500/100 EC,ETONG CHEMICAL INDONESIA,Herbisida,01030120248530,2024-11-18,2029-11-18
1475,PHOSTOXIN 56 TB,INDO GLOBAL TRADE,Fumigan,051001197450,2024-03-04,2029-03-04
1476,CENTOP 540 SL,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120113954,2025-07-11,2030-07-11
1477,VALERON 200 EC,SARANA TANI INDONESIA MAKMUR,Insektisida,01010120083263,2023-08-28,2028-08-28
1478,OXADAN 3 GR,MITRA KREASIDHARMA,Insektisida,01010120227685,2023-02-08,2028-02-08
1479,VENTO 480 SL,AGRO SENTOSA RAYA,Herbisida,01030120238215,2024-03-05,2029-03-05
1480,TamiStar 100/100 SC,TUNASHARAPAN MURNI,Insektisida,01010120238201,2024-03-05,2029-03-05
1481,KENCONIL 75 WP,KENSO INDONESIA,Fungisida,01020120155343,2025-11-13,2030-11-13
1482,Cislin 25 EC,DISCOVERY ENVIRONMENTAL SCIENCE INDONESIA,Bahan pengawet kayu,04110120185945,2023-04-26,2028-04-26
1483,DESTAN 400 EC,DELTAGRO MULIA SEJATI,Insektisida,01010120042068,2023-08-28,2028-08-28
1484,OKSIVEN 240 EC,BENIH BERKAH BERSERI,Herbisida,01030120269614,2026-07-16,2031-07-16
1485,INDO-EAGROWCLEAR 15/30/10 WP,INDO-SINO AGROCHEMICAL,Herbisida,01030120237892,2023-08-28,2028-08-28
1486,SALTO 85 WP,SINAR GENERAL INDUSTRIES,Fungisida,01020120145020,2024-09-19,2029-09-19
1487,DEVRINOL 50 WG,UPL INDONESIA,Herbisida,01030120217199,2026-04-20,2031-04-20
1488,SAFLUFENACIL 96 TC,KHARISMA AGRI WIJAYA,Herbisida,0420261522,2026-07-16,2031-07-16
1489,PUSH 30/300 OD,EASTCHEM AGROSCIENCE INDONESIA,Herbisida,01030120237801,2023-04-26,2028-04-26
1490,STARTREK 288 EC,PETROKIMIA KAYAKU,Herbisida,.01030120083156,2022-06-27,2027-06-27
1491,Kemiholzply CTF-2M 380 OC,MSR HIJAU LESTARI,Insektisida,032001140,2023-08-28,2028-08-28
1492,KENDAX 400 EC,KENSO INDONESIA,Insektisida,01010120144940,2024-08-09,2029-08-09
1493,TASPON 10 PA,GLOBAL AGROTAMA INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120124523,2023-08-28,2028-08-28
1494,FOLIRFOS 400 SL,MITRA KREASIDHARMA,Fungisida,0102011990959,2022-10-04,2027-10-04
1495,ACTICIDE MV,JAYA WARINDO ABADI,Fungisida,042019775,2024-09-19,2029-09-19
1496,"2,4-D 98 TC",MAXXI AGRI INDONESIA,Herbisida,0420251448,2026-01-20,2031-01-20
1497,SKIPPER 50/20 WP,DHARMA GUNA WIBAWA,Fungisida,01020120165463,2022-10-04,2027-10-04
1498,CARBARYL 99 TC,DELTA GIRI WACANA,Insektisida,0420241300,2024-09-19,2029-09-19
1499,Double star 200/70/30 OD,BYTER AGRICULTURE INDONESIA,Herbisida,01030120248603,2025-02-17,2030-02-17
1500,Touchdown Neo 480 SL,SYNGENTA INDONESIA,Herbisida,01030120114050,2025-11-13,2030-11-13
1501,ALEXIS 70 WP,MAJU MAKMUR UTOMO,Fungisida,01020120093537,2024-03-05,2029-03-05
1502,"Novixid 12,5/20 OD",CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Herbisida,01030120227561,2022-12-05,2027-12-05
1503,ACTICIDE MBS,JAYA WARINDO ABADI,Fungisida,042020849,2025-11-13,2030-11-13
1504,Lucky Flower - Anti Mold Sticker,GOLDEN STEP INDONESIA,Fungisida,042019751,2024-11-18,2029-11-18
1505,SPA 160 SL,MESTIKA NUSANTARA AGROKIMIA,Herbisida,01030120072898,2023-08-28,2028-08-28
1506,TORTORA 50 WP,AGRO SEJAHTERA INDONESIA,Fungisida,01020120134829,2024-03-04,2029-03-04
1507,KOMBO 120/60 EC,EUREEKAGREAT NUSANTARA,Fungisida,01020120186109,2024-03-05,2029-03-05
1508,PROF-GUARD 500 EC,AGRO JAYA INDUSTRI,Insektisida,05010120248684,2025-02-17,2030-02-17
1509,LAVENDA 125 SL,PT LION WINGS,Repelen,06080120175766,2022-12-05,2027-12-05
1510,CRASH 480 SL,AGRICULTURE CONSTRUCTION,Herbisida,01030120021683,2022-01-14,2027-01-14
1511,BAKARA 276 SL,Agro Bumi Timur,Herbisida,01030120237848,2023-08-28,2028-08-28
1512,MONKEY 40 SP,SARANA TANI INDONESIA MAKMUR,Insektisida,01010120175748,2022-10-04,2027-10-04
1513,REXXONE 276 SL,NUSA MANDIRI UTAMA,Herbisida,01030120134709,2024-03-04,2029-03-04
1514,ELEVEST 106/159 SC,BINA GUNA KIMIA,Insektisida,01010120237994,2024-03-04,2029-03-04
1515,Delstar Plus,JIRONA AGRITAMA,Insektisida,05010120175894,2023-04-26,2028-04-26
1516,MATIC 45 EC,BIOTEK SARANA INDUSTRI,Insektisida,01010120185967,2024-03-04,2029-03-04
1517,FAWEM 30 EC,Agro Bumi Timur,Insektisida,01010120248480,2024-11-18,2029-11-18
1518,Amine Gold 24/300 SL,BYTER AGRICULTURE INDONESIA,Herbisida,01030120259027,2025-11-13,2030-11-13
1519,KELPAK 11/0.031 SL,BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,Zat Pengatur Tumbuh Tanaman,01040120072668,2022-12-05,2027-12-05
1520,VAPE 0.32 AE,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,032013331,2024-03-04,2029-03-04
1521,Glumon 10 GL,AGROSID MANUNGGAL SENTOSA,Atraktan / Feromon,01070120217051,2026-07-16,2031-07-16
1522,SINOTOBACOL 70 WP,AGRO JAYA INDONESIA,Fungisida,01020120259293,2026-01-20,2031-01-20
1523,VAPE 0.425 AE,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120185998,2023-02-08,2028-02-08
1524,"ITTOKU 8,36/64,64 WP",ARYSTA LIFESCIENCE TIRTA,Fungisida,01020120062351,2026-04-20,2031-04-20
1525,VAPE 0.16 AE,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120238212,2024-03-05,2029-03-05
1526,PARAKUAT DIKLORIDA 42 TC,DA MING INDONESIA,Herbisida,0420231234,2024-03-04,2029-03-04
1527,KIMIDA 10 WP,KENSO INDONESIA,Insektisida,01010120083133,2023-02-08,2028-02-08
1528,Ergostim 51/9 SL,AGROMANNA JAYA LESTARI,Zat Pengatur Tumbuh Tanaman,0104011984702,2023-02-08,2028-02-08
1529,EMPIRIZ 500/50 SC,INDO TANI UTAMA,Insektisida,01010120186180,2024-03-04,2029-03-04
1530,ROUNDTEC 18 EC,RAWWA ROUNDTEC INDONESIA,Insektisida,01010120165414,2026-01-20,2031-01-20
1531,GLYPHOSATE 95 TC,DANKEN INDONESIA,Pestisida lain-lain,04.2022.127,2022-06-27,2027-06-27
1532,LAE-UP 490 SL,PERSADA AGRO SUKSES,Herbisida,01030120155237,2024-09-19,2029-09-19
1533,SAWITTOP 140 SL*,FLORA FAUNA AGRO,Herbisida,01030120258870,2025-07-11,2030-07-11
1534,BENCURE 50 WP,INDOIN BUSINESS GROUP,Fungisida,01020120248579,2025-02-17,2030-02-17
1535,BORAL 480 SC,BINA GUNA KIMIA,Herbisida,01030119971351,2022-06-27,2027-06-27
1536,MATAPEL 25 EC,DA MING INDONESIA,Insektisida,01010120072775,2023-04-26,2028-04-26
1537,ZANTAN PLUS 500 SL,PT BESTAGRO INDO SUKSES,Insektisida,01010120165475,2026-04-20,2031-04-20
1538,BASMIGUL 490 SL,ANKEWA CHEMICAL INDONESIA,Herbisida,01030120186103,2023-02-08,2028-02-08
1539,ONSET 354/208/42 SE,ADIL MAKMUR FAJAR,Herbisida,01030120248523,2024-11-18,2029-11-18
1540,HIT 1.4 AE,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120206928,2026-01-20,2031-01-20
1541,THUKZHEPEN 420 EC,SARI KIMIA UNGGUL,Insektisida,01010120062035,2025-11-13,2030-11-13
1542,RUMP UP 480 SL,SARI KRESNA KIMIA,Herbisida,01030120238194,2024-03-05,2029-03-05
1543,BROADNET 160/12 EC,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Herbisida,032022535,2023-02-08,2028-02-08
1544,DINOTOP 30 WP,NATHANI CHEMICALS,Insektisida,01010120196427,2024-08-09,2029-08-09
1545,RIAPIR MAX 480 EC,REJEKI INDO AGROTEC,Herbisida,01030120269644,2026-07-16,2031-07-16
1546,SynaDime 95 TC,TEXCHEM INDONESIA,Insektisida,0420251400,2025-09-26,2030-09-26
1547,PROTHEPHON 10 PA,MULTI SARANA INDOTANI,Zat Pengatur Tumbuh Tanaman,01040120072970,2026-04-20,2031-04-20
1548,SMASH 100 EC,KRISTALINDO KARUNIA INTERNASIONAL,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120083259,2024-03-04,2029-03-04
1549,SUMILARV 2 MR,SEGORO INTERNASIONAL,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120196310,2024-08-09,2029-08-09
1550,DURAMIL 500 EC,DALZON CHEMICALS INDONESIA,Herbisida,032014352,2024-03-05,2029-03-05
1551,VAPE 0.03 MC,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120165657,2022-01-14,2027-01-14
1552,METIL-GAS 98 LG*,YANNO AGRO SCIENCE INDONESIA,Fumigan,05100120175703,2022-10-04,2027-10-04
1553,GALAPIR 350 SC,REJEKI INDO AGROTEC,Insektisida,01010120217049,2026-01-20,2031-01-20
1554,ALVERDE 240 SC,BASF INDONESIA,Insektisida,032025624,2026-01-20,2031-01-20
1555,BAKORIN 5 SL,AGRICULTURE CONSTRUCTION,Insektisida,01010120227613,2023-02-08,2028-02-08
1556,DORA 0.05 GR,FUMAKILLA INDONESIA,Rodentisida,06120120206915,2026-01-20,2031-01-20
1557,KLORFENAPIR 98 TC,SOLO LOGO INDONESIA,Insektisida,0420241281,2024-08-09,2029-08-09
1558,REFILLXONE 135 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120206674,2025-02-17,2030-02-17
1559,KENCIS 55 EW,KENSO INDONESIA,Insektisida,01010120217144,2026-07-16,2031-07-16
1560,GLYPHOSATE MONOAMMONIUM 38 TC,KENSO INDONESIA,Herbisida,042019740,2024-08-09,2029-08-09
1561,ACROMOR 500 SC,DALZON CHEMICALS INDONESIA,Fungisida,01020120165413,2021-10-12,2026-10-12
1562,BRANTAS 25 EC,CROP CARE INDONESIA,Insektisida,01010120042242,2023-04-26,2028-04-26
1563,IPA GLIFOSAT 62 TC,ANDALL HASA PRIMA,Herbisida,042020858,2025-11-13,2030-11-13
1564,VAPE 0.172 AE,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,032013326,2023-04-26,2028-04-26
1565,KAYAN 128 SL,TIGA MUARA EMAS MAKMUR,Insektisida,01010120237770,2023-04-26,2028-04-26
1566,FAWLIGEN SC,DEWARI AGRO SAKTI,Insektisida,01010120259200,2026-01-20,2031-01-20
1567,TRYMEXYL 8/64 WP,TRIDA KIMIA SAKTI,Fungisida,01020120031941,2024-03-04,2029-03-04
1568,QUINZEB 80 WP,MAXXI AGRI INDONESIA,Fungisida,01020120217165,2026-04-20,2031-04-20
1569,Qiudor 25 WP,AGROMANNA JAYA LESTARI,Insektisida,01010120134705,2022-12-05,2027-12-05
1570,COPTEX PLUS 100/20 SC,RAINBOW AGROSCIENCES,Insektisida,01010120248592,2025-02-17,2030-02-17
1571,FOLTUS 400 SL,DELTA GIRI WACANA,Insektisida,01010120072748,2025-02-17,2030-02-17
1572,BM BENAPE 50 WG,BEHN MEYER AGRICARE,Insektisida,01010120227391,2022-10-04,2027-10-04
1573,MOCTAN 50 WP,TANGGUH AGRO NUSA INDONESIA,Fungisida,01020120165522,2025-11-13,2030-11-13
1574,BAKARON 532/45/118 SC,SANTANI AGRO LESTARI,Herbisida,01030120237731,2023-04-26,2028-04-26
1575,PREVENTOL A 14-D,KEMINDO ARTHA JAYA,Fungisida,0420231265,2024-03-05,2029-03-05
1576,LAMBDA-CYHALOTHRIN 95 TC,MULTI SARANA INDOTANI,Insektisida,042015354,2023-04-26,2028-04-26
1577,BRAVE 150 SL,DALZON CHEMICALS INDONESIA,Herbisida,01030120134556,2023-02-08,2028-02-08
1578,HIT 4.9 LV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120227528,2022-12-05,2027-12-05
1579,XENTIUM 130 EC,KRISTALINDO KARUNIA INTERNASIONAL,Bahan pengawet kayu,04110120155199,2025-07-11,2030-07-11
1580,TOBAGO 240 EC,NUFARM INDONESIA,Zat Pengatur Tumbuh Tanaman,0104011987783,2021-10-12,2026-10-12
1581,HANDALTOP 200 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120259212,2026-01-20,2031-01-20
1582,TANDEM 200/125 SC,BIOTIS AGRINDO,Fungisida,01020120124324,2026-04-20,2031-04-20
1583,ZATETOXA 327/163 SC,TRUSTCHEM AGRO INDONESIA,Akarisida,01140120259323,2026-01-20,2031-01-20
1584,SERENADE SC,BAYER INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120206978,2025-11-13,2030-11-13
1585,IKIPAST 20/20 WP,PERSADA AGRO SUKSES,Insektisida,01010120259219,2026-01-20,2031-01-20
1586,SAMURAI 486 SL,REJEKI INDO AGROTEC,Herbisida,01030120113920,2026-01-20,2031-01-20
1587,Sunrise 80 WP,BYTER AGRICULTURE INDONESIA,Fungisida,01020120259003,2025-09-26,2030-09-26
